pr,url,art,pfadImReview,auditZuordnung,zuordnungTyp,threadId,isResolved,technischerStatus,fixCommit,testOderGegenbeleg,kurztext,abschlussgruppe,abschlussstatus,abschlussnachweis
974,https://github.com/Sturmi77/correlcore/pull/974#pullrequestreview-5276115703,Review/Antwort,,AUD-35,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<!-- CURSOR_AUTOMATION_ID: 8040bfce-1dbd-47b2-9b9d-3569b54c343f | RUN_ID: bc-fdcfacf7-df14-42ce-bcc9-f4bdfa417404 --> **Risk: Very Low.** Two documentation files only (`docs/adr/00,PR#974:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/974#pullrequestreview-5276115703 | PR#974 -> A03/A06/A11/A12 | https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128060,Inline,docs/adr/0043-insight-surface-layers.md,AUD-12,konkreter Audit-Unterpunkt,PRRT_kwDOSH3SD86kqnsK,false,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Finish F1 before ratifying and closing #928** For provisional and robust users who enable sym,PR#974:audit-gate-A03/A06/A11/A12,offenes Audit-/Abnahme-Gate A03/A06/A11/A12; kein Abschluss behauptet,https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128068,Inline,docs/frontend/INSIGHT_SURFACE_LAYERS_ROLLOUT_PLAN.md,AUD-40,konkreter Audit-Unterpunkt,PRRT_kwDOSH3SD86kqnsS,false,offen – Fix/Regressionstest prüfen,,,"**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Leave #930 open until interview validation is resolved** This close-out says it closes #930,",PR#974:audit-gate-A03/A06/A11/A12,offenes Audit-/Abnahme-Gate A03/A06/A11/A12; kein Abschluss behauptet,https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128073,Inline,docs/adr/0043-insight-surface-layers.md,AUD-13,konkreter Audit-Unterpunkt,PRRT_kwDOSH3SD86kqnsV,false,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Fix the signal-detail arrow before ratifying F2** For every same-day association opened at `/,PR#974:audit-gate-A03/A06/A11/A12,offenes Audit-/Abnahme-Gate A03/A06/A11/A12; kein Abschluss behauptet,https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128082,Inline,docs/adr/0043-insight-surface-layers.md,AUD-14,konkreter Audit-Unterpunkt,PRRT_kwDOSH3SD86kqnsc,false,offen – Fix/Regressionstest prüfen,,,"**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Surface the held coefficients before ratifying F4** When an adjusted model is available, `par",PR#974:audit-gate-A03/A06/A11/A12,offenes Audit-/Abnahme-Gate A03/A06/A11/A12; kein Abschluss behauptet,https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128091,Inline,docs/adr/0043-insight-surface-layers.md,AUD-04,konkreter Audit-Unterpunkt,PRRT_kwDOSH3SD86kqnsk,false,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Preserve customized enabled flags before ratifying F6** For a v1 user who reordered the hub b,PR#974:audit-gate-A03/A06/A11/A12,offenes Audit-/Abnahme-Gate A03/A06/A11/A12; kein Abschluss behauptet,https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#pullrequestreview-5276193207,Review/Antwort,,AUD-35,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,### 💡 Codex Review Here are some automated review suggestions for this pull request. **Reviewed commit:** `6e845f40e9` <details> <summary>ℹ️ About Codex in GitHub</summary> <br/>,PR#974:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/974#pullrequestreview-5276193207 | PR#974 -> A03/A06/A11/A12 | https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
974,https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128097,Inline,docs/frontend/INSIGHT_SURFACE_LAYERS_ROLLOUT_PLAN.md,AUD-36,konkreter Audit-Unterpunkt,PRRT_kwDOSH3SD86kqnsn,false,offen – Fix/Regressionstest prüfen,,,**<sub><sub>![P2 Badge](https://img.shields.io/badge/P2-yellow?style=flat)</sub></sub> Reconcile export status before closing #931** The close-out marks #931 complete even though t,PR#974:audit-gate-A03/A06/A11/A12,offenes Audit-/Abnahme-Gate A03/A06/A11/A12; kein Abschluss behauptet,https://github.com/Sturmi77/correlcore/issues/978 | https://github.com/Sturmi77/correlcore/pull/992 | https://github.com/Sturmi77/correlcore/issues/980 | https://github.com/Sturmi77/correlcore/pull/994 | https://github.com/Sturmi77/correlcore/issues/985 | https://github.com/Sturmi77/correlcore/issues/986
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266841193,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,"<details> <summary>Stale comment</summary> <blockquote> ## PR risk assessment **Risk: Medium** — human review required. Not approved. Derived from the diff only (13 files, +553/−37",PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266841193 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
973,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266889229,Review/Antwort,,AUD-07,"PR-Kontext, Einzelprüfung A11 offen",,unbekannt/nicht anwendbar,offen – Fix/Regressionstest prüfen,,,<details> <summary>Stale comment</summary> <blockquote> ## PR risk assessment (re-eval after synchronize) **Risk: Medium** — human review required. Not approved. Re-evaluated from,PR#973:review-summary,gebündelte Review-Zusammenfassung; technische Inline-Punkte separat dispositioniert,https://github.com/Sturmi77/correlcore/pull/973#pullrequestreview-5266889229 | AUD-07 -> A04/A05 | https://github.com/Sturmi77/correlcore/issues/979 | https://github.com/Sturmi77/correlcore/pull/993 | https://github.com/Sturmi77/correlcore/issues/989
