id,auditUnterpunkt,paket,zielverhalten,betroffeneDateien,verantwortlicheRolle,status,fixCommit,regressionstest,ciAbnahmenachweis,reviewUrls
AUD-01,R1 Sperrzyklus / neues ORM im alten Schema,A01,direkter 046→Head-Integrationstest,backend/migrations/env.py; backend/migrations/versions/048_add_tag_is_pinned.py; backend/migrations/versions/049_drop_entry_note_markers.py; backend/app/services/marker_tag_backfill_service.py,Backend / Datenbank,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-02,R1 übersprungene detaillierte Backfill-Tests,A01/A10,"alte Schema-Fixture, keine unbemerkten Skips",backend/migrations/env.py; backend/migrations/versions/048_add_tag_is_pinned.py; backend/migrations/versions/049_drop_entry_note_markers.py; backend/app/services/marker_tag_backfill_service.py,Backend / Datenbank; Release-Verantwortung / CI / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-03,S1 Event-Loop / unbegrenzte Paararbeit,A02,Ressourcen-/Fairness-/Abbruchtests und Security-Nachprüfung,backend/app/api/v1/endpoints/stats.py; backend/app/services/stats_service.py,Backend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-04,R2 angepasste Layouts überschrieben,A03,gemeinsame TS/Python-Fixtures,backend/app/services/insight_sections.py; apps/web/src/lib/utils/insightSections.ts,Backend + Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128091']
AUD-05,R2 bereits fehlerhaft migrierte Einstellungen,A03,geprüfter Wiederherstellungsweg statt Rekonstruktion nach Vermutung,backend/app/services/insight_sections.py; apps/web/src/lib/utils/insightSections.ts,Backend + Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-06,R3 Dismissal-Schlüsselwechsel,A03,persistierte Legacy-Daten bleiben korrekt ausgeblendet,backend/app/services/insight_dismissal_service.py; backend/app/services/insight_service.py,Backend + Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/968#discussion_r4057277069']
AUD-07,R4 Gruppenstärken/Abdeckung fehlen im Download,A04/A05,gleiche Evidenz in UI + vier Formaten,apps/web/src/lib/utils/insightMatrixExport.ts; apps/web/src/routes/insights/report/+page.svelte; backend/app/services/export_service.py,Backend + Frontend / Produkt; Backend + Frontend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/969#discussion_r4057276851']
AUD-08,R4 ungültiges Signal selektiert alle,A05,sichere leere Auswahl,apps/web/src/lib/utils/insightMatrixExport.ts; apps/web/src/routes/insights/report/+page.svelte; backend/app/services/export_service.py,Backend + Frontend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/969#discussion_r4057276856']
AUD-09,R4 Fehler wird Nicht-Reportbarkeit,A05,getrennte fachliche/technische Zustände,apps/web/src/lib/utils/insightMatrixExport.ts; apps/web/src/routes/insights/report/+page.svelte; backend/app/services/export_service.py,Backend + Frontend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/969#discussion_r4057276859']
AUD-10,R4 Signalverlust bei Login,A05/A08,erlaubter Rücksprung mit Parameter,apps/web/src/lib/utils/insightMatrixExport.ts; apps/web/src/routes/insights/report/+page.svelte; backend/app/services/export_service.py,Backend + Frontend / Security; Frontend,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/969#discussion_r4057276861']
AUD-11,S2 CSV-Formeln,A05,tatsächlicher Export + harmloser Empfängertest,apps/web/src/lib/utils/insightMatrixExport.ts; backend/app/services/export_service.py,Backend + Frontend / Security,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,[]
AUD-12,R5 F1 natürliche Häufigkeiten,A06,Advanced-Symptom-Fläche ebenfalls abgenommen,apps/web/src/routes/insights/signal/[id]/+page.svelte; apps/web/src/lib/components/insights/SymptomCooccurrenceHeatmap.svelte; apps/web/src/lib/components/insights/SignalScatter.svelte,Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128060']
AUD-13,R5 F2 Pfeilrichtung,A04/A06,gleichzeitige/zeitversetzte Fälle,apps/web/src/routes/insights/signal/[id]/+page.svelte; apps/web/src/lib/components/insights/SymptomCooccurrenceHeatmap.svelte; apps/web/src/lib/components/insights/SignalScatter.svelte,Backend + Frontend / Produkt; Frontend / Produkt,offen – technische Abnahme ausstehend,,ausstehend,ausstehend,['https://github.com/Sturmi77/correlcore/pull/974#discussion_r4070128073']
