pfad,quelleBranch,quelleHead,urheber,arbeitsstand,vorlaeufigesPaket,status,fixCommit,testnachweis
apps/web/src/lib/api/habits.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/api/insights.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/api/stats.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/api/stats.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/api/sync.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A08,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/insights/BelastungOverlay.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/insights/SignalScatter.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/insights/WithWithoutDistribution.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/trends/HabitDetailBody.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/trends/HabitDetailBody.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/trends/HabitsPanel.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/components/trends/HabitsPanel.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/dev/phaseFixtures.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/i18n/locales/de.json,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A09,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/i18n/locales/en.json,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A09,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/stores/habits.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/analysisRange.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A07,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/habitMetrics.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/habitMetrics.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04/A06,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/insightMatrixExport.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A05,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/insightMatrixExport.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A05,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/insightRanking.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/insightRanking.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/insightSections.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A03,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/insightSections.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A03,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/trendWindowDays.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A07,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/trendWindowDays.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A07,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/withWithoutDistribution.test.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A10,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/lib/utils/withWithoutDistribution.ts,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/routes/+page.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A04 – fachliche Zuordnung prüfen,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
apps/web/src/routes/insights/+page.svelte,feat/928-phase14-sleep-next-day,2e8a7f8f5e4217c61a54b344b202e5aeb52fba73,nicht aus uncommittetem Diff bestimmbar,"lokal modifiziert, nicht committet, nicht in A00 übernommen",A07,Fix-Kandidat – Zielverhalten/Regressionstest auf Integrationsstand offen,,
